Names	total	elements
m124_1 m124_2 m124_3	9	SRR7409592
		SRR7409600
		SRR7409711
		SRR7409726
		SRR7409638
		SRR7409650
		SRR7409745
		SRR7409744
		SRR7409603
m124_2 m124_3	6	SRR7409740
		SRR7409605
		SRR7409583
		SRR7409755
		SRR7409730
		SRR7409699
m124_1 m124_2	20	SRR7409632
		SRR7409619
		SRR7409582
		SRR7409760
		SRR7409637
		SRR7409735
		SRR7409713
		SRR7409578
		SRR7409653
		SRR7409613
		SRR7409662
		SRR7409716
		SRR7409714
		SRR7409705
		SRR7409620
		SRR7409729
		SRR7409700
		SRR7409717
		SRR7409702
		SRR7409669
m124_1 m124_3	6	SRR7409607
		SRR7409642
		SRR7409612
		SRR7409683
		SRR7409634
		SRR7409628
m124_2	23	SRR7409626
		SRR7409598
		SRR7409624
		SRR7409667
		SRR7409672
		SRR7409623
		SRR7409668
		SRR7409709
		SRR7409721
		SRR7409622
		SRR7409657
		SRR7409652
		SRR7409610
		SRR7409661
		SRR7409763
		SRR7409617
		SRR7409609
		SRR7409614
		SRR7409673
		SRR7409749
		SRR7409585
		SRR7409698
		SRR7409636
m124_3	4	SRR7409635
		SRR7409641
		SRR7409718
		SRR7409688
m124_1	12	SRR7409697
		SRR7409586
		SRR7409621
		SRR7409707
		SRR7409681
		SRR7409666
		SRR7409654
		SRR7409629
		SRR7409750
		SRR7409651
		SRR7409616
		SRR7409762
